"","Spelling","wlen","FreqCount","LogFreq(Zipf)","CD","DomPoS","DomPoSLemma","Spell_check","Hyphen","Double_word_entry"
"1","a",1,4809384,7.378,0.983,"determiner","a","UKUS",0,NA
"2","i",1,4343102,7.334,0.971,"pronoun","I","UKUS",0,NA
"3","s",1,3385674,7.225,0.981,"verb","be","UKUS",0,NA
"4","m",1,648543,6.508,0.831,"verb","be","UKUS",0,NA
"5","d",1,222578,6.043,0.675,"verb","would","UKUS",0,NA
"6","e",1,16147,4.904,0.163,"unclassified","e","UKUS",0,NA
"7","o",1,14043,4.843,0.108,"name","o","UKUS",0,NA
"8","b",1,10903,4.733,0.118,"name","b","UKUS",0,NA
"9","t",1,10636,4.723,0.123,"name","t","UKUS",0,NA
"10","c",1,7869,4.592,0.086,"name","c","UKUS",0,NA
"11","x",1,7236,4.555,0.078,"name","x","UKUS",0,NA
"12","y",1,6653,4.519,0.073,"name","y","UKUS",0,NA
"13","n",1,6592,4.515,0.076,"name","n","UKUS",0,NA
"14","p",1,5098,4.403,0.062,"name","p","UKUS",0,NA
"15","h",1,4828,4.38,0.052,"name","h","UKUS",0,NA
"16","r",1,3940,4.291,0.049,"name","r","UKUS",0,NA
"17","u",1,3930,4.29,0.049,"name","u","UKUS",0,NA
"18","g",1,3661,4.259,0.048,"name","g","UKUS",0,NA
"19","f",1,3293,4.213,0.049,"noun","f","UKUS",0,NA
"20","l",1,3053,4.181,0.039,"name","l","UKUS",0,NA
"21","v",1,2926,4.162,0.041,"name","v","UKUS",0,NA
"22","w",1,2710,4.129,0.037,"name","w","UKUS",0,NA
"23","j",1,2595,4.11,0.033,"name","j","UKUS",0,NA
"24","k",1,2266,4.051,0.029,"name","k","UKUS",0,NA
"25","z",1,1466,3.862,0.019,"name","z","UKUS",0,NA
"26","q",1,659,3.515,0.01,"name","q","UKUS",0,NA
"27","to",2,5327272,7.422,0.982,"marker","to","UKUS",0,NA
"28","it",2,4317835,7.331,0.981,"pronoun","it","UKUS",0,NA
"29","of",2,3779783,7.273,0.977,"preposition","of","UKUS",0,NA
"30","is",2,3047923,7.18,0.973,"verb","be","UKUS",0,NA
"31","in",2,2950040,7.166,0.977,"preposition","in","UKUS",0,NA
"32","we",2,2013550,7,0.971,"pronoun","we","UKUS",0,NA
"33","on",2,1569081,6.891,0.975,"preposition","on","UKUS",0,NA
"34","do",2,1441193,6.854,0.966,"verb","do","UKUS",0,NA
"35","he",2,1335537,6.821,0.93,"pronoun","he","UKUS",0,NA
"36","be",2,1283610,6.804,0.966,"verb","be","UKUS",0,NA
"37","so",2,987856,6.69,0.959,"adverb","so","UKUS",0,NA
"38","at",2,984810,6.689,0.962,"preposition","at","UKUS",0,NA
"39","as",2,817813,6.608,0.93,"preposition","as","UKUS",0,NA
"40","me",2,696518,6.539,0.918,"pronoun","i","UKUS",0,NA
"41","re",2,689587,6.534,0.882,"verb","be","UKUS",0,NA
"42","up",2,683393,6.53,0.952,"preposition","up","UKUS",0,NA
"43","my",2,662093,6.517,0.909,"pronoun","my","UKUS",0,NA
"44","if",2,642953,6.504,0.94,"preposition","if","UKUS",0,NA
"45","no",2,634923,6.498,0.941,"determiner","no","UKUS",0,NA
"46","ve",2,630605,6.495,0.773,"verb","have","X",0,NA
"47","go",2,540766,6.429,0.941,"verb","go","UKUS",0,NA
"48","an",2,504518,6.399,0.925,"determiner","a","UKUS",0,NA
"49","ll",2,416655,6.316,0.769,"verb","ll","X",0,NA
"50","or",2,394860,6.292,0.903,"conjunction","or","UKUS",0,NA
"51","oh",2,392066,6.289,0.676,"interjection","oh","UKUS",0,NA
"52","by",2,381382,6.277,0.872,"preposition","by","UKUS",0,NA
"53","us",2,286408,6.153,0.894,"pronoun","we","UKUS",0,NA
"54","ok",2,194098,5.984,0.619,"interjection","ok","UKUS",0,NA
"55","ca",2,183270,5.959,0.751,"verb","can","UKUS",0,NA
"56","am",2,154213,5.884,0.724,"verb","be","UKUS",0,NA
"57","mr",2,74880,5.57,0.366,"name","mr","X",0,NA
"58","wo",2,67101,5.522,0.548,"verb","will","X",0,NA
"59","ha",2,60534,5.478,0.208,"noun","ha","UKUS",0,NA
"60","ah",2,54292,5.43,0.374,"interjection","ah","UKUS",0,NA
"61","uk",2,53158,5.421,0.353,"name","uk","X",0,NA
"62","hi",2,38509,5.281,0.314,"name","hi","UKUS",0,NA
"63","la",2,35897,5.251,0.102,"name","la","UKUS",0,NA
"64","er",2,34046,5.228,0.246,"name","er","X",0,NA
"65","um",2,30805,5.184,0.234,"noun","um","UKUS",0,NA
"66","ai",2,23932,5.075,0.122,"verb","be","X",0,NA
"67","tv",2,22923,5.056,0.216,"noun","tv","UKUS",0,NA
"68","eh",2,20736,5.012,0.171,"verb","eh","UKUS",0,NA
"69","uh",2,17390,4.936,0.148,"name","uh","UKUS",0,NA
"70","st",2,16481,4.913,0.149,"name","st","X",0,NA
"71","dr",2,15596,4.889,0.123,"name","dr","X",0,NA
"72","de",2,15149,4.876,0.141,"name","de","UKUS",0,NA
"73","ed",2,14619,4.861,0.081,"name","ed","X",0,NA
"74","da",2,14411,4.854,0.078,"noun","da","X",0,NA
"75","mm",2,14035,4.843,0.148,"name","mm","UKUS",0,NA
"76","em",2,11963,4.774,0.118,"pronoun","em","X",0,NA
"77","ho",2,10813,4.73,0.075,"unclassified","ho","UKUS",0,NA
"78","co",2,10207,4.705,0.146,"noun","co","UKUS",0,NA
"79","na",2,9390,4.668,0.017,"marker","na","X",0,NA
"80","hm",2,8401,4.62,0.101,"noun","hm","X",0,NA
"81","mp",2,8305,4.615,0.088,"name","mp","UKUS",0,NA
"82","ya",2,8160,4.607,0.078,"pronoun","ya","X",0,NA
"83","oi",2,8010,4.599,0.071,"unclassified","oi","X",0,NA
"84","al",2,7933,4.595,0.063,"name","al","UKUS",0,NA
"85","ow",2,6856,4.532,0.075,"noun","ow","X",0,NA
"86","eu",2,6684,4.521,0.056,"name","eu","X",0,NA
"87","un",2,6477,4.507,0.074,"name","un","UKUS",0,NA
"88","jo",2,6279,4.494,0.034,"name","jo","X",0,NA
"89","ba",2,6262,4.493,0.029,"noun","ba","X",0,NA
"90","pm",2,5514,4.437,0.084,"noun","pm","UKUS",0,NA
"91","ex",2,5351,4.424,0.082,"unclassified","ex","UKUS",0,NA
"92","mo",2,5313,4.421,0.026,"name","mo","UKUS",0,NA
"93","aw",2,5123,4.405,0.072,"interjection","aw","UKUS",0,NA
"94","en",2,5057,4.4,0.049,"preposition","en","UKUS",0,NA
"95","cj",2,4542,4.353,0.011,"name","cj","X",0,NA
"96","ii",2,4411,4.34,0.056,"name","ii","UKUS",0,NA
"97","ta",2,4022,4.3,0.057,"name","ta","X",0,NA
"98","ma",2,3743,4.269,0.031,"name","ma","UKUS",0,NA
"99","oo",2,3672,4.261,0.022,"noun","oo","X",0,NA
"100","yo",2,3474,4.237,0.029,"name","yo","UKUS",0,NA
"101","le",2,3222,4.204,0.034,"name","le","UKUS",0,NA
"102","di",2,3150,4.194,0.025,"name","di","X",0,NA
"103","li",2,2854,4.151,0.009,"name","li","X",0,NA
"104","bp",2,2853,4.151,0.018,"name","bp","X",0,NA
"105","fa",2,2811,4.145,0.03,"name","fa","UKUS",0,NA
"106","ye",2,2740,4.134,0.024,"noun","ye","UKUS",0,NA
"107","dj",2,2661,4.121,0.026,"name","dj","X",0,NA
"108","ad",2,2505,4.095,0.034,"noun","ad","UKUS",0,NA
"109","pc",2,2437,4.083,0.022,"noun","pc","UKUS",0,NA
"110","ms",2,2402,4.076,0.025,"name","ms","UKUS",0,NA
"111","ee",2,2323,4.062,0.021,"unclassified","ee","X",0,NA
"112","gp",2,2106,4.019,0.027,"name","gp","X",0,NA
"113","et",2,2027,4.003,0.027,"unclassified","et","UKUS",0,NA
"114","si",2,2012,4,0.018,"name","si","X",0,NA
"115","lo",2,1977,3.992,0.019,"name","lo","UKUS",0,NA
"116","wi",2,1916,3.978,0.015,"noun","wus","X",0,NA
"117","el",2,1801,3.951,0.018,"name","el","UKUS",0,NA
"118","gb",2,1740,3.937,0.016,"name","gb","X",0,NA
"119","pa",2,1688,3.923,0.016,"name","pa","UKUS",0,NA
"120","wa",2,1615,3.904,0.019,"name","wa","X",0,NA
"121","ay",2,1609,3.903,0.013,"noun","ay","UKUS",0,NA
"122","id",2,1580,3.895,0.022,"name","id","UKUS",0,NA
"123","mi",2,1578,3.894,0.012,"unclassified","mi","UKUS",0,NA
"124","hq",2,1565,3.891,0.022,"name","hq","X",0,NA
"125","ra",2,1533,3.882,0.016,"noun","ra","X",0,NA
"126","ft",2,1468,3.863,0.025,"noun","ft","UKUS",0,NA
"127","dw",2,1467,3.862,0.007,"name","dw","X",0,NA
"128","fi",2,1466,3.862,0.017,"unclassified","fi","X",0,NA
"129","pr",2,1449,3.857,0.022,"name","pr","UKUS",0,NA
"130","du",2,1442,3.855,0.015,"name","du","UKUS",0,NA
"131","fu",2,1410,3.845,0.009,"name","fu","UKUS",0,NA
"132","aa",2,1374,3.834,0.014,"name","aa","X",0,NA
"133","au",2,1276,3.802,0.017,"name","au","UKUS",0,NA
"134","ch",2,1173,3.765,0.007,"name","ch","X",0,NA
"135","bo",2,1150,3.757,0.01,"name","bo","X",0,NA
"136","op",2,1116,3.744,0.016,"noun","op","UKUS",0,NA
"137","bc",2,1115,3.743,0.012,"name","bc","X",0,NA
"138","je",2,1067,3.724,0.009,"noun","je","UKUS",0,NA
"139","cd",2,1057,3.72,0.015,"name","cd","X",0,NA
"140","dc",2,1040,3.713,0.012,"name","dc","UKUS",0,NA
"141","iv",2,1040,3.713,0.014,"name","iv","UKUS",0,NA
"142","av",2,1033,3.71,0.007,"name","av","X",0,NA
"143","tb",2,1003,3.697,0.007,"noun","tb","X",0,NA
"144","sh",2,961,3.679,0.012,"noun","sh","X",0,NA
"145","es",2,960,3.678,0.013,"verb","e","X",0,NA
"146","oz",2,941,3.67,0.01,"name","oz","UKUS",0,NA
"147","il",2,930,3.665,0.009,"name","il","X",0,NA
"148","po",2,905,3.653,0.007,"name","po","X",0,NA
"149","ct",2,877,3.639,0.008,"name","ct","UKUS",0,NA
"150","ja",2,860,3.631,0.007,"noun","ja","X",0,NA
"151","bt",2,857,3.629,0.01,"name","bt","X",0,NA
"152","cv",2,811,3.605,0.013,"name","cv","X",0,NA
"153","te",2,760,3.577,0.007,"name","te","X",0,NA
"154","wh",2,739,3.565,0.012,"name","wh","X",0,NA
"155","vi",2,720,3.554,0.01,"name","vi","UKUS",0,NA
"156","se",2,716,3.551,0.011,"unclassified","se","UKUS",0,NA
"157","ne",2,711,3.548,0.008,"noun","ne","UKUS",0,NA
"158","pe",2,681,3.53,0.01,"name","pe","X",0,NA
"159","th",2,653,3.511,0.01,"noun","th","X",0,NA
"160","ey",2,641,3.503,0.008,"noun","ey","X",0,NA
"161","tu",2,630,3.496,0.006,"noun","tu","X",0,NA
"162","jp",2,618,3.487,0.005,"name","jp","X",0,NA
"163","ni",2,595,3.471,0.006,"unclassified","ni","X",0,NA
"164","jr",2,589,3.467,0.007,"name","jr","X",0,NA
"165","ga",2,587,3.465,0.005,"noun","ga","X",0,NA
"166","ar",2,585,3.464,0.007,"noun","ar","X",0,NA
"167","va",2,567,3.45,0.006,"unclassified","va","X",0,NA
"168","ka",2,562,3.446,0.006,"unclassified","ka","UKUS",0,NA
"169","ty",2,559,3.444,0.004,"name","ty","X",0,NA
"170","ss",2,555,3.441,0.007,"name","ss","X",0,NA
"171","ze",2,555,3.441,0.004,"noun","ze","X",0,NA
"172","ap",2,517,3.41,0.006,"name","ap","X",0,NA
"173","gm",2,504,3.399,0.003,"name","gm","UKUS",0,NA
"174","fc",2,498,3.394,0.007,"name","fc","X",0,NA
"175","ox",2,496,3.392,0.007,"noun","ox","UKUS",0,NA
"176","m1",2,493,3.389,0.007,"name","m1","X",0,NA
"177","ds",2,487,3.384,0.006,"name","ds","X",0,NA
"178","mk",2,484,3.381,0.005,"name","mk","X",0,NA
"179","ou",2,481,3.379,0.005,"noun","ou","X",0,NA
"180","sy",2,460,3.359,0.004,"name","sy","X",0,NA
"181","mc",2,455,3.355,0.007,"name","mc","UKUS",0,NA
"182","bi",2,447,3.347,0.006,"noun","bus","UKUS",0,NA
"183","jk",2,446,3.346,0.004,"name","jk","X",0,NA
"184","pi",2,441,3.341,0.005,"name","pi","UKUS",0,NA
"185","f1",2,441,3.341,0.004,"number","f1","X",0,NA
"186","ti",2,434,3.334,0.006,"unclassified","ti","X",0,NA
"187","hu",2,431,3.331,0.005,"name","hu","X",0,NA
"188","o2",2,427,3.327,0.005,"name","o2","X",0,NA
"189","mu",2,413,3.313,0.002,"name","mu","UKUS",0,NA
"190","aj",2,408,3.307,0.002,"name","aj","X",0,NA
"191","oj",2,395,3.293,0.006,"name","oj","X",0,NA
"192","fo",2,389,3.287,0.004,"name","fo","X",0,NA
"193","qi",2,389,3.287,0.004,"name","qi","X",0,NA
"194","u2",2,388,3.286,0.004,"noun","u2","X",0,NA
"195","lu",2,378,3.274,0.002,"name","lu","X",0,NA
"196","ac",2,376,3.272,0.005,"name","ac","UKUS",0,NA
"197","vu",2,376,3.272,0.006,"noun","vu","UKUS",0,NA
"198","oa",2,373,3.269,0.003,"noun","oa","X",0,NA
"199","ki",2,371,3.266,0.005,"name","ki","X",0,NA
"200","qc",2,368,3.263,0.006,"name","qc","UKUS",0,NA
"201","m4",2,367,3.262,0.006,"name","m4","X",0,NA
"202","fm",2,363,3.257,0.005,"name","fm","UKUS",0,NA
"203","ab",2,363,3.257,0.006,"name","ab","X",0,NA
"204","im",2,363,3.257,0.006,"name","im","X",0,NA
"205","ew",2,359,3.252,0.006,"noun","ew","X",0,NA
"206","ce",2,348,3.239,0.004,"noun","ce","X",0,NA
"207","sa",2,341,3.23,0.005,"name","sa","X",0,NA
"208","m6",2,339,3.227,0.005,"name","m6","X",0,NA
"209","ro",2,337,3.225,0.004,"name","ro","X",0,NA
"210","ie",2,336,3.223,0.007,"noun","ie","X",0,NA
"211","gi",2,333,3.219,0.004,"name","gi","X",0,NA
"212","ol",2,330,3.216,0.004,"adjective","ol","X",0,NA
"213","ts",2,328,3.213,0.006,"name","ts","X",0,NA
"214","hd",2,326,3.21,0.005,"name","hd","X",0,NA
"215","tj",2,325,3.209,0.002,"name","tj","X",0,NA
"216","a1",2,322,3.205,0.005,"name","a1","X",0,NA
"217","ps",2,319,3.201,0.006,"name","ps","X",0,NA
"218","iq",2,299,3.173,0.004,"name","iq","X",0,NA
"219","m5",2,297,3.17,0.003,"name","m5","X",0,NA
"220","cs",2,291,3.161,0.005,"name","cs","X",0,NA
"221","io",2,285,3.152,0.002,"name","io","X",0,NA
"222","bu",2,283,3.149,0.002,"noun","bu","X",0,NA
"223","g8",2,277,3.14,0.004,"name","g8","X",0,NA
"224","mg",2,274,3.135,0.003,"name","mg","UKUS",0,NA
"225","wu",2,273,3.133,0.002,"name","wu","X",0,NA
"226","oy",2,267,3.124,0.003,"name","oy","X",0,NA
"227","ri",2,265,3.121,0.003,"name","ri","X",0,NA
"228","tt",2,256,3.106,0.003,"name","tt","X",0,NA
"229","su",2,253,3.101,0.004,"name","su","X",0,NA
"230","v8",2,250,3.095,0.003,"noun","v8","X",0,NA
"231","jj",2,247,3.09,0.002,"name","jj","X",0,NA
"232","ly",2,241,3.08,0.004,"adverb","ly","X",0,NA
"233","vw",2,239,3.076,0.002,"name","vw","X",0,NA
"234","ph",2,238,3.074,0.003,"noun","ph","UKUS",0,NA
"235","jd",2,226,3.052,0.002,"name","jd","X",0,NA
"236","bb",2,223,3.046,0.002,"name","bb","UKUS",0,NA
"237","hr",2,223,3.046,0.004,"name","hr","UKUS",0,NA
"238","uv",2,223,3.046,0.003,"name","uv","X",0,NA
"239","vt",2,222,3.044,0.004,"name","vt","X",0,NA
"240","rt",2,218,3.036,0.002,"name","rt","X",0,NA
"241","br",2,216,3.032,0.003,"name","br","X",0,NA
"242","fe",2,216,3.032,0.004,"name","fe","X",0,NA
"243","om",2,216,3.032,0.003,"noun","om","X",0,NA
"244","os",2,216,3.032,0.004,"noun","os","X",0,NA
"245","ea",2,214,3.028,0.002,"unclassified","ea","UKUS",0,NA
"246","yn",2,211,3.022,0.002,"noun","yn","X",0,NA
"247","ko",2,207,3.014,0.002,"name","ko","X",0,NA
"248","yi",2,207,3.014,0.002,"unclassified","yi","X",0,NA
"249","pj",2,205,3.01,0.002,"name","pj","X",0,NA
"250","dk",2,202,3.003,0.001,"name","dk","X",0,NA
"251","the",3,9418422,7.67,0.984,"determiner","the","UKUS",0,NA
"252","and",3,4255508,7.325,0.982,"conjunction","and","UKUS",0,NA
"253","you",3,4178884,7.317,0.975,"pronoun","you","UKUS",0,NA
"254","for",3,1706951,6.928,0.975,"preposition","for","UKUS",0,NA
"255","was",3,1509144,6.874,0.951,"verb","be","UKUS",0,NA
"256","n't",3,1486484,6.868,0.942,"adverb","not","X",0,NA
"257","are",3,1333491,6.821,0.971,"verb","be","UKUS",0,NA
"258","but",3,1162474,6.761,0.966,"conjunction","but","UKUS",0,NA
"259","not",3,1060351,6.721,0.956,"adverb","not","UKUS",0,NA
"260","all",3,850940,6.626,0.969,"determiner","all","UKUS",0,NA
"261","one",3,740004,6.565,0.961,"number","one","UKUS",0,NA
"262","can",3,728539,6.558,0.959,"verb","can","UKUS",0,NA
"263","has",3,644910,6.505,0.911,"verb","have","UKUS",0,NA
"264","get",3,618803,6.487,0.937,"verb","get","UKUS",0,NA
"265","out",3,611911,6.482,0.948,"preposition","out","UKUS",0,NA
"266","got",3,590673,6.467,0.901,"verb","get","UKUS",0,NA
"267","now",3,549611,6.436,0.956,"adverb","now","UKUS",0,NA
"268","she",3,524565,6.416,0.778,"pronoun","she","UKUS",0,NA
"269","his",3,502568,6.397,0.876,"pronoun","he","UKUS",0,NA
"270","had",3,472871,6.37,0.898,"verb","have","UKUS",0,NA
"271","did",3,457966,6.357,0.902,"verb","do","UKUS",0,NA
"272","see",3,438143,6.337,0.936,"verb","see","UKUS",0,NA
"273","how",3,433942,6.333,0.928,"adverb","how","UKUS",0,NA
"274","who",3,423246,6.322,0.917,"pronoun","who","UKUS",0,NA
"275","her",3,355000,6.246,0.75,"pronoun","she","UKUS",0,NA
"276","yes",3,344989,6.234,0.826,"interjection","yes","UKUS",0,NA
"277","our",3,335403,6.221,0.876,"pronoun","we","UKUS",0,NA
"278","him",3,310930,6.188,0.794,"pronoun","he","UKUS",0,NA
"279","two",3,301575,6.175,0.889,"number","two","UKUS",0,NA
"280","let",3,292314,6.162,0.87,"verb","let","UKUS",0,NA
"281","say",3,273058,6.132,0.871,"verb","say","UKUS",0,NA
"282","way",3,264662,6.118,0.895,"noun","way","UKUS",0,NA
"283","bit",3,252546,6.098,0.779,"noun","bit","UKUS",0,NA
"284","off",3,244091,6.083,0.85,"preposition","off","UKUS",0,NA
"285","why",3,212785,6.024,0.833,"adverb","why","UKUS",0,NA
"286","any",3,207385,6.013,0.853,"determiner","any","UKUS",0,NA
"287","day",3,197132,5.99,0.839,"noun","day","UKUS",0,NA
"288","put",3,195594,5.987,0.821,"verb","put","UKUS",0,NA
"289","lot",3,192787,5.981,0.782,"noun","lot","UKUS",0,NA
"290","new",3,191855,5.979,0.794,"adjective","new","UKUS",0,NA
"291","big",3,176888,5.943,0.817,"adjective","big","UKUS",0,NA
"292","too",3,170360,5.927,0.845,"adverb","too","UKUS",0,NA
"293","man",3,145147,5.858,0.684,"noun","man","UKUS",0,NA
"294","old",3,125626,5.795,0.703,"adjective","old","UKUS",0,NA
"295","its",3,119480,5.773,0.639,"pronoun","its","UKUS",0,NA
"296","end",3,118566,5.77,0.733,"noun","end","UKUS",0,NA
"297","own",3,105171,5.718,0.709,"adjective","own","UKUS",0,NA
"298","may",3,97136,5.683,0.675,"verb","may","UKUS",0,NA
"299","few",3,94698,5.672,0.682,"adjective","few","UKUS",0,NA
"300","try",3,89661,5.648,0.678,"verb","try","UKUS",0,NA
"301","top",3,88872,5.645,0.613,"adjective","top","UKUS",0,NA
"302","far",3,82183,5.611,0.662,"adverb","far","UKUS",0,NA
"303","job",3,81108,5.605,0.574,"noun","job","UKUS",0,NA
"304","set",3,75469,5.574,0.603,"verb","set","UKUS",0,NA
"305","use",3,74133,5.566,0.597,"verb","use","UKUS",0,NA
"306","bad",3,73494,5.562,0.597,"adjective","bad","UKUS",0,NA
"307","ago",3,63785,5.5,0.562,"adverb","ago","UKUS",0,NA
"308","win",3,62609,5.492,0.373,"verb","win","UKUS",0,NA
"309","run",3,61720,5.486,0.537,"verb","run","UKUS",0,NA
"310","six",3,59483,5.47,0.523,"number","six","UKUS",0,NA
"311","mum",3,58098,5.46,0.296,"noun","mum","UKUS",0,NA
"312","car",3,55649,5.441,0.33,"noun","car","UKUS",0,NA
"313","cos",3,55450,5.44,0.345,"name","cos","X",0,NA
"314","hey",3,53886,5.427,0.307,"name","hey","UKUS",0,NA
"315","dad",3,52311,5.414,0.267,"noun","dad","UKUS",0,NA
"316","yet",3,52168,5.413,0.555,"adverb","yet","UKUS",0,NA
"317","ask",3,51658,5.409,0.506,"verb","ask","UKUS",0,NA
"318","red",3,51355,5.406,0.35,"adjective","red","UKUS",0,NA
"319","saw",3,50895,5.402,0.505,"verb","see","UKUS",0,NA
"320","pay",3,50880,5.402,0.4,"verb","pay","UKUS",0,NA
"321","ten",3,49047,5.386,0.432,"number","ten","UKUS",0,NA
"322","god",3,47807,5.375,0.296,"name","god","UKUS",0,NA
"323","buy",3,46980,5.368,0.348,"verb","buy","UKUS",0,NA
"324","men",3,46723,5.365,0.362,"noun","man","UKUS",0,NA
"325","won",3,46610,5.364,0.337,"verb","win","UKUS",0,NA
"326","cut",3,45221,5.351,0.418,"verb","cut","UKUS",0,NA
"327","war",3,44202,5.341,0.283,"noun","war","UKUS",0,NA
"328","fun",3,41055,5.309,0.386,"noun","fun","UKUS",0,NA
"329","hit",3,41043,5.309,0.408,"verb","hit","UKUS",0,NA
"330","ooh",3,40468,5.303,0.271,"name","ooh","UKUS",0,NA
"331","sir",3,40321,5.301,0.241,"noun","sir","UKUS",0,NA
"332","wow",3,38755,5.284,0.327,"interjection","wow","UKUS",0,NA
"333","boy",3,38050,5.276,0.34,"noun","boy","UKUS",0,NA
"334","air",3,33384,5.219,0.339,"noun","air","UKUS",0,NA
"335","eat",3,32360,5.206,0.281,"verb","eat","UKUS",0,NA
"336","sea",3,32275,5.205,0.234,"noun","sea","UKUS",0,NA
"337","age",3,30622,5.182,0.332,"noun","age","UKUS",0,NA
"338","bbc",3,30571,5.181,0.258,"name","bbc","X",0,NA
"339","tax",3,30351,5.178,0.14,"noun","tax","UKUS",0,NA
"340","dog",3,29680,5.168,0.194,"noun","dog","UKUS",0,NA
"341","son",3,29505,5.166,0.276,"noun","son","UKUS",0,NA
"342","met",3,29035,5.159,0.352,"verb","meet","UKUS",0,NA
"343","guy",3,28510,5.151,0.259,"noun","guy","UKUS",0,NA
"344","art",3,28247,5.147,0.195,"noun","art","UKUS",0,NA
"345","hot",3,28098,5.144,0.274,"adjective","hot","UKUS",0,NA
"346","bid",3,27868,5.141,0.11,"noun","bid","UKUS",0,NA
"347","sit",3,27519,5.135,0.337,"verb","sit","UKUS",0,NA
"348","eye",3,27123,5.129,0.331,"noun","eye","UKUS",0,NA
"349","box",3,26693,5.122,0.25,"noun","box","UKUS",0,NA
"350","bed",3,26282,5.115,0.269,"noun","bed","UKUS",0,NA
"351","low",3,26261,5.115,0.304,"adjective","low","UKUS",0,NA
"352","bye",3,26035,5.111,0.199,"name","bye","UKUS",0,NA
"353","cup",3,24989,5.094,0.222,"name","cup","UKUS",0,NA
"354","key",3,23882,5.074,0.292,"adjective","key","UKUS",0,NA
"355","law",3,22552,5.049,0.217,"noun","law","UKUS",0,NA
"356","tom",3,22456,5.047,0.117,"name","tom","UKUS",0,NA
"357","tea",3,21172,5.022,0.206,"noun","tea","UKUS",0,NA
"358","sun",3,20693,5.012,0.214,"noun","sun","UKUS",0,NA
"359","add",3,20234,5.002,0.219,"verb","add","UKUS",0,NA
"360","act",3,19642,4.989,0.24,"noun","act","UKUS",0,NA
"361","ice",3,19301,4.981,0.146,"noun","ice","UKUS",0,NA
"362","oil",3,19139,4.978,0.129,"noun","oil","UKUS",0,NA
"363","mrs",3,19098,4.977,0.139,"name","mrs","X",0,NA
"364","fit",3,18693,4.967,0.253,"verb","fit","UKUS",0,NA
"365","dry",3,18551,4.964,0.208,"adjective","dry","UKUS",0,NA
"366","pop",3,17959,4.95,0.195,"noun","pop","UKUS",0,NA
"367","ben",3,17745,4.945,0.096,"name","ben","X",0,NA
"368","erm",3,17531,4.94,0.146,"name","erm","X",0,NA
"369","ian",3,16524,4.914,0.094,"name","ian","X",0,NA
"370","fly",3,16151,4.904,0.171,"verb","fly","UKUS",0,NA
"371","die",3,15993,4.9,0.192,"verb","die","UKUS",0,NA
"372","bag",3,15489,4.886,0.179,"noun","bag","UKUS",0,NA
"373","leg",3,15155,4.876,0.145,"noun","leg","UKUS",0,NA
"374","huh",3,14881,4.868,0.143,"name","huh","UKUS",0,NA
"375","hmm",3,14873,4.868,0.168,"name","hmm","UKUS",0,NA
"376","bob",3,14746,4.864,0.085,"name","bob","UKUS",0,NA
"377","per",3,14171,4.847,0.16,"preposition","per","UKUS",0,NA
"378","led",3,13748,4.834,0.207,"verb","lead","UKUS",0,NA
"379","cat",3,13608,4.83,0.122,"noun","cat","UKUS",0,NA
"380","yep",3,13374,4.822,0.157,"name","yep","UKUS",0,NA
"381","sam",3,12993,4.809,0.065,"name","sam","UKUS",0,NA
"382","sad",3,12931,4.807,0.184,"adjective","sad","UKUS",0,NA
"383","rid",3,12800,4.803,0.18,"adjective","rid","UKUS",0,NA
"384","bet",3,12788,4.803,0.188,"verb","bet","UKUS",0,NA
"385","pat",3,12640,4.798,0.057,"name","pat","UKUS",0,NA
"386","egg",3,12626,4.797,0.087,"noun","egg","UKUS",0,NA
"387","sex",3,12572,4.795,0.104,"noun","sex","UKUS",0,NA
"388","due",3,12457,4.791,0.2,"adjective","due","UKUS",0,NA
"389","sky",3,12396,4.789,0.141,"noun","sky","UKUS",0,NA
"390","mmm",3,12376,4.788,0.137,"name","mmm","X",0,NA
"391","joe",3,12193,4.782,0.073,"name","joe","X",0,NA
"392","kid",3,12131,4.78,0.141,"noun","kid","UKUS",0,NA
"393","gas",3,11881,4.771,0.105,"noun","gas","UKUS",0,NA
"394","fat",3,11832,4.769,0.119,"adjective","fat","UKUS",0,NA
"395","tim",3,11810,4.768,0.066,"name","tim","X",0,NA
"396","lie",3,11733,4.765,0.156,"verb","lie","UKUS",0,NA
"397","pot",3,11628,4.761,0.105,"noun","pot","UKUS",0,NA
"398","hat",3,11557,4.759,0.137,"noun","hat","UKUS",0,NA
"399","wet",3,11463,4.755,0.151,"adjective","wet","UKUS",0,NA
"400","aye",3,11417,4.753,0.052,"name","aye","UKUS",0,NA
"401","row",3,11399,4.753,0.145,"noun","row","UKUS",0,NA
"402","bar",3,11216,4.746,0.141,"noun","bar","UKUS",0,NA
"403","bus",3,11117,4.742,0.114,"noun","bus","UKUS",0,NA
"404","nhs",3,10981,4.736,0.064,"name","nhs","X",0,NA
"405","mad",3,10791,4.729,0.157,"adjective","mad","UKUS",0,NA
"406","ran",3,10763,4.728,0.157,"verb","run","UKUS",0,NA
"407","wee",3,10659,4.723,0.081,"noun","wee","UKUS",0,NA
"408","mps",3,10518,4.718,0.082,"noun","mp","UKUS",0,NA
"409","fan",3,10434,4.714,0.145,"noun","fan","UKUS",0,NA
"410","lee",3,10410,4.713,0.069,"name","lee","UKUS",0,NA
"411","pub",3,10254,4.707,0.11,"noun","pub","UKUS",0,NA
