"","Spelling","wlen","FreqCount","LogFreq(Zipf)","CD","DomPoS","DomPoSLemma","Spell_check","Hyphen","Double_word_entry"
"6463","chance",6,57576,5.456,0.512,"noun","chance","UKUS",0,NA
"6464","school",6,57161,5.453,0.381,"noun","school","UKUS",0,NA
"6465","public",6,56053,5.444,0.351,"adjective","public","UKUS",0,NA
"6466","thanks",6,54341,5.431,0.465,"noun","thanks","UKUS",0,NA
"6467","though",6,54330,5.431,0.538,"preposition","though","UKUS",0,NA
"6468","behind",6,52851,5.419,0.524,"preposition","behind","UKUS",0,NA
"6469","couple",6,52507,5.416,0.485,"noun","couple","UKUS",0,NA
"6470","almost",6,49935,5.394,0.503,"adverb","almost","UKUS",0,NA
"6471","rather",6,49073,5.387,0.484,"adverb","rather","UKUS",0,NA
"6472","months",6,46361,5.362,0.429,"noun","month","UKUS",0,NA
"6473","inside",6,45641,5.355,0.433,"preposition","inside","UKUS",0,NA
"6474","labour",6,45591,5.355,0.182,"name","labour","UK",0,NA
"6475","person",6,44179,5.341,0.443,"noun","person","UKUS",0,NA
"6476","points",6,44109,5.34,0.213,"noun","point","UKUS",0,NA
"6477","happen",6,42369,5.323,0.47,"verb","happen","UKUS",0,NA
"6478","living",6,41310,5.312,0.38,"verb","live","UKUS",0,NA
"6479","future",6,40253,5.301,0.377,"noun","future","UKUS",0,NA
"6480","mother",6,39195,5.289,0.309,"noun","mother","UKUS",0,NA
"6481","friend",6,38876,5.285,0.362,"noun","friend","UKUS",0,NA
"6482","myself",6,38722,5.284,0.418,"pronoun","myself","UKUS",0,"my self"
"6483","anyone",6,38454,5.281,0.44,"noun","anyone","UKUS",0,"any one"
"6484","garden",6,38363,5.28,0.194,"noun","garden","UKUS",0,NA
"6485","become",6,38152,5.277,0.435,"verb","become","UKUS",0,NA
"6486","looked",6,37568,5.271,0.418,"verb","look","UKUS",0,NA
"6487","system",6,36799,5.262,0.291,"noun","system","UKUS",0,NA
"6488","played",6,36547,5.259,0.267,"verb","play","UKUS",0,NA
"6489","father",6,36427,5.257,0.273,"noun","father","UKUS",0,NA
"6490","listen",6,35886,5.251,0.345,"verb","listen","UKUS",0,NA
"6491","strong",6,35613,5.247,0.412,"adjective","strong","UKUS",0,NA
"6492","matter",6,35202,5.242,0.409,"noun","matter","UKUS",0,NA
"6493","middle",6,34526,5.234,0.375,"noun","middle","UKUS",0,NA
"6494","minute",6,34154,5.229,0.384,"noun","minute","UKUS",0,NA
"6495","market",6,33772,5.224,0.246,"noun","market","UKUS",0,NA
"6496","within",6,33205,5.217,0.37,"preposition","within","UKUS",0,"with in"
"6497","street",6,31608,5.196,0.316,"noun","street","UKUS",0,NA
"6498","budget",6,31273,5.191,0.164,"noun","budget","UKUS",0,NA
"6499","reason",6,31199,5.19,0.396,"noun","reason","UKUS",0,NA
